Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
High Gain Antenna elevation,110,0.09181437,0.2212738653327776,1.0,IBS_N
Radial Distance from Sun,120,0.05299544,0.1146515128862482,1.0,IBS_N
Electronic Box Temperature,120,0.06109817,0.13218113907689383,1.0,IBS_N
Heater Dutycycle,120,0.061347667,0.13272090643254897,1.0,IBS_N
Search Coil Magnetometer's Temperature,120,0.048895918,0.10578251586668466,1.0,IBS_N
Solar Array's Angle,120,0.03334234,0.07213355949432004,1.0,IBS_N
High Gain Antenna Azimuth,120,0.096769296,0.20935284596820342,1.0,IBS_N
High Gain Antenna elevation,120,0.10778179,0.23317752027510097,1.0,IBS_N
Electronic Box Temperature,130,0.064939335,0.15521083790587575,1.0,IBS_N
Heater Dutycycle,130,0.05104151,0.1219937890506753,1.0,IBS_N
Search Coil Magnetometer's Temperature,130,0.046992105,0.11231534773201625,1.0,IBS_N
Solar Array's Angle,130,0.041347858,0.09882509092206083,1.0,IBS_N
High Gain Antenna Azimuth,130,0.112609945,0.2691478734727509,1.0,IBS_N
High Gain Antenna elevation,130,0.10146358,0.24250706091662097,1.0,IBS_N
Electronic Box Temperature,140,0.061767876,0.1487942807957944,1.0,IBS_N
Heater Dutycycle,140,0.05569638,0.13416849245438306,1.0,IBS_N
Search Coil Magnetometer's Temperature,140,0.049539562,0.11933716967584683,1.0,IBS_N
Solar Array's Angle,140,0.026065141,0.06278901202521475,1.0,IBS_N
High Gain Antenna Azimuth,140,0.10559595,0.25437289498506743,1.0,IBS_N
High Gain Antenna elevation,140,0.11645774,0.28053815006369365,1.0,IBS_N
Electronic Box Temperature,150,0.073747315,0.17242868076085252,1.0,IBS_N
Heater Dutycycle,150,0.059887744,0.14002360210217363,1.0,IBS_N
Search Coil Magnetometer's Temperature,150,0.039250366,0.09177132521720445,1.0,IBS_N
Solar Array's Angle,150,0.033444967,0.07819771523750048,1.0,IBS_N
High Gain Antenna Azimuth,150,0.099774644,0.23328320818600254,1.0,IBS_N
High Gain Antenna elevation,150,0.12159246,0.28429546849626636,1.0,IBS_N
Electronic Box Temperature,160,0.06827649,0.15746294015013726,1.0,IBS_N
Heater Dutycycle,160,0.056150958,0.12949838134512878,1.0,IBS_N
Search Coil Magnetometer's Temperature,160,0.04671455,0.10773562599352421,1.0,IBS_N
Solar Array's Angle,160,0.030055357,0.06931529257702043,1.0,IBS_N
High Gain Antenna Azimuth,160,0.105293356,0.2428332419261022,1.0,IBS_N
High Gain Antenna elevation,160,0.12711284,0.29315451800808706,1.0,IBS_N
Electronic Box Temperature,170,0.07787058,0.1719451999912913,1.0,IBS_N
Heater Dutycycle,170,0.04651401,0.10270709107145373,1.0,IBS_N
Search Coil Magnetometer's Temperature,170,0.062359847,0.1376961153216186,1.0,IBS_N
Solar Array's Angle,170,0.051765393,0.1143026140554339,1.0,IBS_N
High Gain Antenna Azimuth,170,0.10368346,0.22894234594745605,1.0,IBS_N
High Gain Antenna elevation,170,0.11068693,0.24440663361274645,1.0,IBS_N
Electronic Box Temperature,180,0.079880714,0.1703135845687413,1.0,IBS_N
Heater Dutycycle,180,0.050925955,0.10857917398730829,1.0,IBS_N
Search Coil Magnetometer's Temperature,180,0.0538366,0.11478495706727779,1.0,IBS_N
Solar Array's Angle,180,0.04825098,0.10287586266135082,1.0,IBS_N
High Gain Antenna Azimuth,180,0.10512638,0.2241398419465258,1.0,IBS_N
High Gain Antenna elevation,180,0.13100076,0.27930657976879597,1.0,IBS_N
Electronic Box Temperature,190,0.07861979,0.17633065965294306,1.0,IBS_N
Heater Dutycycle,190,0.054458603,0.12214127499917954,1.0,IBS_N
Search Coil Magnetometer's Temperature,190,0.057326447,0.12857335557713243,1.0,IBS_N
Solar Array's Angle,190,0.041566473,0.09322644595637114,1.0,IBS_N
High Gain Antenna Azimuth,190,0.09807526,0.2199659308608418,1.0,IBS_N
High Gain Antenna elevation,190,0.11581911,0.2597623329535321,1.0,IBS_N
Radial Distance from Sun,200,0.049505588,0.09415009422019864,1.0,IBS_N
Electronic Box Temperature,200,0.12092591,0.22997779200528354,1.0,IBS_N
Heater Dutycycle,200,0.048213497,0.09169278597873162,1.0,IBS_N
Search Coil Magnetometer's Temperature,200,0.063453466,0.12067627198970288,1.0,IBS_N
Solar Array's Angle,200,0.03474078,0.06607027292117391,1.0,IBS_N
High Gain Antenna Azimuth,200,0.108469866,0.20628879519524787,1.0,IBS_N
High Gain Antenna elevation,200,0.10050649,0.19114398768966148,1.0,IBS_N
Electronic Box Temperature,210,0.09298823,0.20488724090712113,1.0,IBS_N
Heater Dutycycle,210,0.05196944,0.11450777343636045,1.0,IBS_N
Search Coil Magnetometer's Temperature,210,0.044060323,0.09708108233640504,1.0,IBS_N
Solar Array's Angle,210,0.034685347,0.0764245652028874,1.0,IBS_N
High Gain Antenna Azimuth,210,0.10545809,0.23236292476407885,1.0,IBS_N
High Gain Antenna elevation,210,0.12468933,0.2747364133531472,1.0,IBS_N
Electronic Box Temperature,220,0.12804255,0.26503194119805984,0.9999999999999999,IBS_N
